,timestamp,equity,profit_loss,profit_loss_pct,base_value,base_value_asof,timeframe
198,1713648600,99997.32,-2.679999999993015,1.0,100000.0,2024-04-18,5Min
199,1713648900,99998.03,-1.9700000000011642,1.0,100000.0,2024-04-18,5Min
200,1713649200,99998.01999999999,-1.9799999999959255,1.0,100000.0,2024-04-18,5Min
201,1713649500,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
202,1713649800,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
203,1713650100,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
204,1713650400,99997.70999999999,-2.289999999993597,1.0,100000.0,2024-04-18,5Min
205,1713650700,99996.98000000001,-3.0200000000040745,1.0,100000.0,2024-04-18,5Min
206,1713651000,99996.70999999999,-3.289999999993597,1.0,100000.0,2024-04-18,5Min
207,1713651300,99996.39000000001,-3.610000000000582,1.0,100000.0,2024-04-18,5Min
208,1713651600,99997.01000000001,-2.9900000000052387,1.0,100000.0,2024-04-18,5Min
209,1713651900,99997.01999999999,-2.9799999999959255,1.0,100000.0,2024-04-18,5Min
210,1713652200,99996.88,-3.1199999999953434,1.0,100000.0,2024-04-18,5Min
211,1713652500,99996.88,-3.1199999999953434,1.0,100000.0,2024-04-18,5Min
212,1713652800,99996.41,-3.5899999999965075,1.0,100000.0,2024-04-18,5Min
213,1713653100,99996.70999999999,-3.289999999993597,1.0,100000.0,2024-04-18,5Min
214,1713653400,99996.67000000001,-3.3300000000017462,1.0,100000.0,2024-04-18,5Min
215,1713653700,99996.53,-3.470000000001164,1.0,100000.0,2024-04-18,5Min
216,1713654000,99996.48999999999,-3.5099999999947613,1.0,100000.0,2024-04-18,5Min
217,1713654300,99996.62,-3.3800000000046566,1.0,100000.0,2024-04-18,5Min
218,1713654600,99997.15,-2.8500000000058208,1.0,100000.0,2024-04-18,5Min
219,1713654900,99997.53,-2.470000000001164,1.0,100000.0,2024-04-18,5Min
220,1713655200,99997.91,-2.0899999999965075,1.0,100000.0,2024-04-18,5Min
221,1713655500,99998.66,-1.3399999999965075,1.0,100000.0,2024-04-18,5Min
222,1713655800,99998.41,-1.5899999999965075,1.0,100000.0,2024-04-18,5Min
223,1713656100,99998.59,-1.4100000000034925,1.0,100000.0,2024-04-18,5Min
224,1713656400,99998.42000000001,-1.5800000000017462,1.0,100000.0,2024-04-18,5Min
225,1713656700,99998.47,-1.5299999999988358,1.0,100000.0,2024-04-18,5Min
226,1713657000,99998.53,-1.4700000000011642,1.0,100000.0,2024-04-18,5Min
227,1713657300,99998.31,-1.6900000000023283,1.0,100000.0,2024-04-18,5Min
228,1713657600,99998.66,-1.3399999999965075,1.0,100000.0,2024-04-18,5Min
229,1713657900,99998.18,-1.820000000006985,1.0,100000.0,2024-04-18,5Min
230,1713658200,99998.13,-1.8699999999953434,1.0,100000.0,2024-04-18,5Min
231,1713658500,99998.23000000001,-1.7700000000040745,1.0,100000.0,2024-04-18,5Min
232,1713658800,99998.16,-1.8399999999965075,1.0,100000.0,2024-04-18,5Min
233,1713659100,99998.04000000001,-1.9600000000064028,1.0,100000.0,2024-04-18,5Min
234,1713659400,99998.23999999999,-1.7599999999947613,1.0,100000.0,2024-04-18,5Min
235,1713659700,99997.76999999999,-2.2299999999959255,1.0,100000.0,2024-04-18,5Min
236,1713660000,99996.73000000001,-3.2700000000040745,1.0,100000.0,2024-04-18,5Min
237,1713660300,99997.12,-2.8800000000046566,1.0,100000.0,2024-04-18,5Min
238,1713660600,99997.82,-2.179999999993015,1.0,100000.0,2024-04-18,5Min
239,1713660900,99997.82,-2.179999999993015,1.0,100000.0,2024-04-18,5Min
240,1713661200,99997.82999999999,-2.1699999999982538,1.0,100000.0,2024-04-18,5Min
241,1713661500,99997.84,-2.1600000000034925,1.0,100000.0,2024-04-18,5Min
242,1713661800,99997.84,-2.1600000000034925,1.0,100000.0,2024-04-18,5Min
243,1713662100,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
244,1713662400,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
245,1713662700,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
246,1713663000,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
247,1713663300,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
248,1713663600,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
249,1713663900,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
250,1713664200,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
251,1713664500,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
252,1713664800,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
253,1713665100,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
254,1713665400,99997.85,-2.1499999999941792,1.0,100000.0,2024-04-18,5Min
255,1713665700,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
256,1713666000,99997.85999999999,-2.139999999999418,1.0,100000.0,2024-04-18,5Min
257,1713666300,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
258,1713666600,99997.89000000001,-2.110000000000582,1.0,100000.0,2024-04-18,5Min
259,1713666900,99997.9,-2.1000000000058208,1.0,100000.0,2024-04-18,5Min
260,1713667200,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
261,1713667500,99997.56,-2.4400000000023283,1.0,100000.0,2024-04-18,5Min
262,1713667800,99997.47,-2.529999999998836,1.0,100000.0,2024-04-18,5Min
263,1713668100,99997.6,-2.3999999999941792,1.0,100000.0,2024-04-18,5Min
264,1713668400,99997.73000000001,-2.2700000000040745,1.0,100000.0,2024-04-18,5Min
265,1713668700,99997.79000000001,-2.210000000006403,1.0,100000.0,2024-04-18,5Min
266,1713669000,99998.6,-1.3999999999941792,1.0,100000.0,2024-04-18,5Min
267,1713669300,99998.6,-1.3999999999941792,1.0,100000.0,2024-04-18,5Min
268,1713669600,99998.42000000001,-1.5800000000017462,1.0,100000.0,2024-04-18,5Min
269,1713669900,99998.14000000001,-1.860000000000582,1.0,100000.0,2024-04-18,5Min
270,1713670200,99997.66,-2.3399999999965075,1.0,100000.0,2024-04-18,5Min
271,1713670500,99997.9,-2.1000000000058208,1.0,100000.0,2024-04-18,5Min
272,1713670800,99997.9,-2.1000000000058208,1.0,100000.0,2024-04-18,5Min
273,1713671100,99997.89000000001,-2.110000000000582,1.0,100000.0,2024-04-18,5Min
274,1713671400,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
275,1713671700,99997.89000000001,-2.110000000000582,1.0,100000.0,2024-04-18,5Min
276,1713672000,99997.89000000001,-2.110000000000582,1.0,100000.0,2024-04-18,5Min
277,1713672300,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
278,1713672600,99997.88,-2.1199999999953434,1.0,100000.0,2024-04-18,5Min
279,1713672900,99997.69,-2.3099999999976717,1.0,100000.0,2024-04-18,5Min
280,1713673200,99997.35999999999,-2.639999999999418,1.0,100000.0,2024-04-18,5Min
281,1713673500,99997.34,-2.6600000000034925,1.0,100000.0,2024-04-18,5Min
282,1713673800,99997.34,-2.6600000000034925,1.0,100000.0,2024-04-18,5Min
283,1713674100,99997.34,-2.6600000000034925,1.0,100000.0,2024-04-18,5Min
284,1713674400,99997.42000000001,-2.5800000000017462,1.0,100000.0,2024-04-18,5Min
285,1713674700,99997.63,-2.3699999999953434,1.0,100000.0,2024-04-18,5Min
286,1713675000,99997.82999999999,-2.1699999999982538,1.0,100000.0,2024-04-18,5Min
287,1713675300,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
288,1713675600,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
289,1713675900,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
290,1713676200,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
291,1713676500,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
292,1713676800,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
293,1713677100,99998.09,-1.9100000000034925,1.0,100000.0,2024-04-18,5Min
294,1713677400,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
295,1713677700,99998.07999999999,-1.9199999999982538,1.0,100000.0,2024-04-18,5Min
296,1713678000,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
297,1713678300,99998.07,-1.929999999993015,1.0,100000.0,2024-04-18,5Min
298,1713678600,99998.06,-1.9400000000023283,1.0,100000.0,2024-04-18,5Min
299,1713678900,99998.06,-1.9400000000023283,1.0,100000.0,2024-04-18,5Min
300,1713679200,99998.06,-1.9400000000023283,1.0,100000.0,2024-04-18,5Min
