Epoch Time,Open Price,High Price,Low Price,Close Price,Volume
1713646980.000000,64783.010000,64809.950000,64785.380000,64797.100000,0.615097
1713646920.000000,64783.000000,64829.490000,64797.990000,64783.010000,2.573517
1713646860.000000,64716.530000,64799.030000,64735.380000,64799.030000,4.861123
1713646800.000000,64731.000000,64797.140000,64755.210000,64735.960000,1.572730
1713646740.000000,64735.960000,64764.800000,64735.960000,64756.180000,0.534568
1713646680.000000,64734.480000,64766.280000,64758.760000,64735.730000,0.501710
1713646620.000000,64748.370000,64771.970000,64748.370000,64757.010000,0.856714
1713646560.000000,64703.200000,64750.530000,64704.670000,64748.370000,0.971511
1713646500.000000,64691.780000,64751.670000,64738.230000,64711.330000,2.784775
1713646440.000000,64738.210000,64759.400000,64746.110000,64742.070000,0.829210
1713646380.000000,64734.130000,64767.360000,64759.280000,64746.100000,1.149039
1713646320.000000,64743.710000,64786.460000,64769.540000,64759.280000,0.537767
1713646260.000000,64769.240000,64813.540000,64805.280000,64769.540000,0.887270
1713646200.000000,64747.940000,64809.570000,64773.580000,64805.290000,7.894792
1713646140.000000,64758.380000,64805.880000,64792.650000,64771.910000,1.706989
1713646080.000000,64792.650000,64838.790000,64833.440000,64792.650000,1.513897
1713646020.000000,64795.430000,64844.720000,64807.550000,64833.440000,2.062617
1713645960.000000,64775.010000,64817.920000,64792.640000,64807.560000,2.303194
1713645900.000000,64763.100000,64800.030000,64795.090000,64792.640000,1.651872
1713645840.000000,64793.690000,64822.230000,64805.280000,64796.030000,0.813942
1713645780.000000,64788.220000,64823.220000,64823.220000,64805.250000,1.017622
1713645720.000000,64811.060000,64859.960000,64833.470000,64823.220000,6.651505
1713645660.000000,64777.320000,64834.650000,64783.840000,64834.650000,1.719414
1713645600.000000,64751.200000,64817.180000,64817.180000,64793.710000,3.468887
1713645540.000000,64799.880000,64826.910000,64820.140000,64816.940000,3.579563
1713645480.000000,64799.230000,64828.270000,64827.190000,64816.020000,2.247182
1713645420.000000,64798.060000,64844.920000,64844.920000,64826.950000,4.112205
1713645360.000000,64777.200000,64849.960000,64805.640000,64845.090000,2.560709
1713645300.000000,64775.520000,64821.130000,64820.960000,64812.440000,1.972761
1713645240.000000,64780.000000,64830.520000,64791.860000,64822.090000,6.097397
1713645180.000000,64776.070000,64830.550000,64805.280000,64792.550000,1.222784
1713645120.000000,64805.660000,64903.120000,64836.360000,64807.690000,6.307328
1713645060.000000,64813.740000,64854.680000,64825.470000,64832.440000,3.240221
1713645000.000000,64738.110000,64842.570000,64746.790000,64825.470000,2.159115
1713644940.000000,64738.500000,64794.070000,64772.870000,64746.910000,2.954339
1713644880.000000,64768.820000,64812.740000,64783.780000,64768.880000,1.863988
1713644820.000000,64767.730000,64812.080000,64788.850000,64783.560000,2.660076
1713644760.000000,64787.200000,64868.490000,64789.360000,64794.580000,4.963191
1713644700.000000,64700.320000,64800.730000,64732.770000,64789.850000,4.095578
1713644640.000000,64654.430000,64744.810000,64654.710000,64735.740000,7.725341
1713644580.000000,64650.000000,64715.800000,64707.460000,64658.730000,12.630738
1713644520.000000,64709.140000,64754.720000,64716.800000,64709.470000,4.589765
1713644460.000000,64705.190000,64857.870000,64839.690000,64716.800000,8.268105
1713644400.000000,64839.450000,64872.330000,64855.850000,64839.460000,2.790822
1713644340.000000,64839.460000,64901.900000,64894.600000,64859.730000,1.925594
1713644280.000000,64894.480000,64966.680000,64937.180000,64894.480000,1.802877
1713644220.000000,64933.330000,64954.760000,64947.920000,64936.820000,1.223048
1713644160.000000,64947.830000,64983.670000,64983.670000,64947.910000,2.421765
1713644100.000000,64927.310000,64997.670000,64931.680000,64983.630000,3.457198
1713644040.000000,64915.330000,64961.740000,64961.680000,64937.180000,3.418528
1713643980.000000,64959.740000,64977.440000,64975.010000,64964.810000,1.872870
1713643920.000000,64962.470000,65020.200000,65020.200000,64980.620000,1.715101
1713643860.000000,64915.070000,65059.920000,64923.560000,65023.820000,5.725869
1713643800.000000,64923.560000,65026.760000,64987.340000,64923.560000,4.008829
1713643740.000000,64966.120000,64996.870000,64969.040000,64986.830000,0.969793
1713643680.000000,64935.630000,64982.240000,64950.420000,64960.320000,1.017269
1713643620.000000,64946.290000,64991.750000,64980.830000,64951.810000,2.035485
1713643560.000000,64933.180000,65014.930000,64944.320000,64982.020000,2.969511
1713643500.000000,64919.150000,64971.640000,64922.900000,64951.600000,0.672040
1713643440.000000,64919.140000,64975.520000,64958.320000,64919.140000,2.081587
1713643380.000000,64935.440000,64998.070000,64935.700000,64957.640000,3.697252
1713643320.000000,64925.440000,64946.510000,64928.660000,64931.840000,3.567750
1713643260.000000,64911.240000,64944.320000,64911.240000,64928.670000,2.164919
1713643200.000000,64888.430000,64930.540000,64888.430000,64911.240000,4.302820
1713643140.000000,64866.920000,64919.760000,64866.920000,64884.740000,11.261890
1713643080.000000,64845.350000,64889.000000,64887.940000,64866.930000,2.089533
1713643020.000000,64881.130000,64897.170000,64883.990000,64889.000000,0.775305
1713642960.000000,64874.780000,64911.450000,64885.220000,64885.600000,2.702875
1713642900.000000,64837.120000,64895.620000,64843.210000,64886.300000,3.345925
1713642840.000000,64830.950000,64861.590000,64861.590000,64846.110000,1.843835
1713642780.000000,64830.960000,64877.420000,64844.180000,64861.620000,4.289954
1713642720.000000,64832.090000,64854.790000,64832.090000,64844.180000,0.848893
1713642660.000000,64830.580000,64853.580000,64844.480000,64832.100000,1.778211
1713642600.000000,64826.880000,64887.930000,64887.930000,64844.480000,1.375556
1713642540.000000,64856.880000,64909.790000,64872.500000,64887.690000,2.246610
1713642480.000000,64846.760000,64896.910000,64846.760000,64872.510000,1.934069
